Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Camera Glass","Because it is Broken",,4.76,"https://www.macfactory.in/products/replacement-back-camera-lens-glass-only-with-adhesive-compatible-for-samsung-galaxy-s20-fe-4g-5g-cloud-mint?variant=45052971221154","MacFactory"
"Back Gasket","Sticking BackPanel Again",,4.23,"https://www.macfactory.in/products/back-cover-adhesive-tape-compatible-for-samsung-galaxy-s20-fe-replacement-by-macfactory-store?variant=45055600656546","MacFactory"
"Battery","Because I want to replace It",,18.54,"https://www.macfactory.in/products/replacement-battery-compatible-for-samsung-galaxy-s20-fe-5g-a52-4g-a525-2021-a52-5g-a526-2021-a52s-5g-a528-2021-eb-bg781aby-eb-ba525aby?_pos=2&_fid=f85de72e6&_ss=c","MacFactory"
